Site ID,Site Name
1090,Von Ormy Highway 16
1612,CAPCOG Bastrop
1613,CAPCOG Elgin
1045,Temple Georgia
1047,Killeen Skylark Field
23,San Antonio Northwest
58,Camp Bullis
678,CPS Pecan Valley
59,Calaveras Lake
9999,Frank Wing Municipal Court
501,Elm Creek Elementary
502,Fair Oaks Ranch
622,Heritage Middle School
623,Gardner Rd. Gas Sub-Station
625,Gate 9A CPS
626,Gate 58 CPS
677,Old Hwy 90
1069,San Antonio Interstate 35
1087,San Antonio Bulverde Parkway
1091,San Antonio Red Hill Lane
1097,San Antonio Interstate 10 West
1609,Calaveras Lake Park
1610,Government Canyon
1031,Texarkana New Boston
11,Clute
84,Manvel Croix Park
1012,Freeport South Avenue I
1016,Lake Jackson
1607,Oyster Creek
1086,Bryan Finfeather Road
67,Bravo Big Bend
316,Bravo Big Bend
656,Bravo Big Bend
691,Bravo Big Bend
1604,Lockhart
1023,Harlingen Teege
1098,Brownsville East 6th Street
323,Isla Blanca State Park Road
667,Isla Blanca State Park Road
31,Frisco
680,Frisco
1010,Frisco Eubanks
9998,Frisco Stonebrook
503,Bulverde Elementary
505,City of Garden Ridge
1088,New Braunfels Oak Run Parkway
1504,Gainesville Doss Street
312,Convention Center
9997,Earhart
60,Dallas Hinton
161,Dallas Hinton
401,Dallas Hinton
3002,Dallas Hinton
63,Dallas North #2
679,Dallas North #2
402,Dallas Redbird Airport Executive
1067,Dallas LBJ Freeway
1096,Dallas Bexar Street
1500,Lancaster Cedardale
1505,Dallas Elm Fork
56,Denton Airport South
157,Denton Airport South
163,Denton Airport South
1007,Flower Mound Shiloh
1013,DISH Airfield
1032,Pilot Point
47,Odessa-Hays Elementary School
122,Odessa-Hays Elementary School
1014,Odessa Gonzales
1092,Odessa Westmark Street
1093,Goldsmith Street
1044,Italy
414,Ivanhoe
418,El Paso Mimosa
41,El Paso Chamizal
126,El Paso Chamizal
3001,El Paso Chamizal
123,Womble
36,El Paso Lower Valley
37,Ascarate Park SE
159,Ascarate Park SE
172,Ascarate Park SE
49,Socorro Hueco
72,Skyline Park
693,Van Buren
1021,Ojo De Agua
1084,Fairfield FM 2570 Ward Ranch
412,Texas City Fire Station
9995,Texas City Fire Station
147,Texas City Ball Park
1022,Texas City Ball Park
620,Texas City 34th Street
615,Texas City BP 31st Street (Site 1)
1615,Texas City BP 31st Street (Site 1)
616,Texas City BP Onsite (Site 2)
1616,Texas City BP Onsite (Site 2)
621,Texas City BP Logan Street (Site 3)
1621,Texas City BP Logan Street (Site 3)
1034,Galveston 99th Street
19,Longview
127,Longview
644,Longview
504,New Braunfels Airport
506,Seguin Outdoor Learning Center
8,Houston Aldine
108,Houston Aldine
150,Houston Aldine
15,Channelview
115,Channelview
26,Northwest Harris County
110,Northwest Harris County
154,Northwest Harris County
1036,Channelview Drive Water Tower
405,Houston North Wayside
1033,Houston North Wayside
408,Lang
409,Houston Croquet
53,Houston Bayland Park
146,Houston Bayland Park
181,Houston Bayland Park
167,Galena Park
1667,Galena Park
148,Baytown
145,Shore Acres
406,Houston Monroe
410,Houston Westhollow
3003,Houston Westhollow
169,Milby Park
1029,Manchester East Avenue N
416,Park Place
417,Houston Harvard Street
551,Sheldon
552,Baytown Wetlands Center
553,Crosby Library
554,West Houston
556,La Porte Sylvan Beach
557,Mercer Arboretum
558,Tom Bass
559,Katy Park
560,Atascocita
561,Meyer Park
562,Bunker Hill Village
563,Huffman Wolf Road
617,Wallisville Road
669,TPC FTIR South
670,TPC FTIR North
671,Goodyear GC
673,Goodyear Houston Site #2
114,HRM #3 Haden Rd
603,HRM #3 Haden Rd
607,HRM 7 BAYTOWN
165,Lynchburg Ferry
1015,Lynchburg Ferry
1017,Baytown Garth
1,Houston East
55,Clinton
113,Clinton
304,Clinton
403,Clinton
35,Houston Deer Park #2
139,Houston Deer Park #2
235,Houston Deer Park #2
1001,Houston Deer Park #2
3000,Houston Deer Park #2
243,La Porte Airport C243
1049,Pasadena Richey Elementary School
45,Seabrook Friendship Park
1052,Houston North Loop
1066,Houston Southwest Freeway
1614,HRM 16-Deer Park
175,Cesar Chavez
1020,Cesar Chavez
85,Karnack
1079,Hallsville Red Oak Road
614,Dripping Springs School
1630,CAPCOG Lake Kyle Park
1675,CAPCOG San Marcos Staples Road
43,Mission
143,Mission
1046,Edinburg East Freddy Gonzalez Drive
73,Granbury
681,Granbury
1072,Big Spring Midway
198,Greenville
1006,Greenville
1073,Borger FM 1559
2,Beaumont Downtown
112,Beaumont Downtown
2002,Beaumont Downtown
28,Port Arthur West
128,Port Arthur West
228,Port Arthur West
119,Groves
136,Port Neches Avenue L
1019,Jefferson County Airport
2001,Jefferson County Airport
303,Port Arthur Memorial School
689,Port Arthur Memorial School
64,Hamshire
654,Hamshire
640,SETRPC  40  Sabine Pass
1654,SETRPC  40  Sabine Pass
643,SETRPC 43 Jefferson Co Airport
628,SETRPC Port Arthur
1628,SETRPC Port Arthur
628,SETRPC Port Arthur
1035,Nederland 17th Street
1050,Beaumont Mary
1071,Port Arthur West 7th Street Gate 2
77,Cleburne Airport
682,Cleburne Airport
1008,Johnson County Luisa
1063,Mansfield Flying L Lane
1501,Godley FM2331
1070,Karnes County
71,Kaufman
1089,Terrell Jamison Court
314,National Seashore
1028,Lubbock 12th Street
1037,Waco Mazanec
319,Eagle Pass
655,Eagle Pass
1095,Midland Avalon Drive
1507,Bowie Patterson Street
78,Conroe Relocated
1051,Corsicana Airport
1081,Richland Southeast 1220 Road
4,Corpus Christi West
21,Corpus Christi Tuloso
168,Corpus Christi Hillcrest
170,Corpus Christi Hillcrest
195,Corpus Christi Hillcrest
98,Corpus Christi Huisache
149,Corpus Christi Huisache
155,Corpus Christi Huisache
199,Dona Park
635,Dona Park
83,Corpus Christi Palm
1024,Williams Park
9,West Orange
141,West Orange
1083,Orange 1st Street
311,SETRPC 42 Mauriceville
642,SETRPC 42 Mauriceville
665,SETRPC 42 Mauriceville
1502,Mineral Wells 23rd Street
76,Parker County
1506,Weatherford Tin Top Road
1025,Amarillo 24th Avenue
1077,Amarillo Xcel El Rancho
1076,Franklin Oak Grove
69,Rockwall Heath
1082,Tatum CR 2181d Martin Creek Lake
82,Tyler Airport Relocated
75,Eagle Mountain Lake
13,Fort Worth Northwest
60,Fort Worth Northwest
310,Haws Athletic Center
1009,Everman Johnson Park
1018,Arlington UT Campus
1053,Fort Worth California Parkway North
1062,Kennedale Treepoint Drive
1065,Fort Worth Joe B. Rushing Road
1503,Fort Worth Benbrook Lake
17,Keller
70,Grapevine Fairway
182,Grapevine Fairway
61,Arlington Municipal Airport
1509,Abilene Industrial Boulevard
1078,Cookville FM 4855
3,Austin North Hills Drive
38,Austin Audubon Society
171,Austin Webberville Rd
1068,Austin North Interstate 35
1605,St. Edwards University
1619,CAPCOG East Austin
1633,CAPCOG Pflugerville
87,Victoria
44,Laredo College
144,Laredo College
66,Laredo Bridge
173,Laredo Bridge
313,World Trade Bridge
1508,Wichita Falls MWSU
690,CAPCOG Lake Georgetown
1620,CAPCOG Round Rock Brushy Creek West
1629,CAPCOG Taylor Murphy Park
1038,Floresville Hospital Boulevard
88,Decatur Thompson
1064,Rhome Seven Hills Road
